,role,firm,location,jd,time_ago
1702,Oracle Database Administrator / DBA,TMBThanachart Bank or ttb / ทีเอ็มบีธนชาต หรือ ทีทีบี,Bangkok,"3–5-year experiences in Database AdministrationComputer Engineering, Computer Science or ITOracle database is preferable",6d ago
1703,Performance Test Lead (1 year contract/ BTS Ploenchit / MRT Samyan/ Max 180K),"PERSOLKELLY HR Services Recruitment (Thailand) Co., Ltd.",Bangkok,"4+ years in performance/load testingExpert Jmeter, LoadRunner, SOAPUI or any toolsExperience in cloud: AWS, Google cloud/ SQL",5d ago
1704,SCM Senior Officer (Experienced 5 years Chemical Industry) 40 K+ Bonus / Rayong,"PERSOLKELLY HR Services Recruitment (Thailand) Co., Ltd.",Rayong,5 years of experience in Supply chain in chemicalExperience using SAPGood command of written and spoken English,4d ago
1705,Funding - Senior to Assistant Manager,"Frasers Property (Thailand) Public Co., Ltd.",Pathumwan,"minimum 3 year in banking,treasuryGood knowledge in financial statements analysisWell-organized and reliable",4d ago
1706,Panel & Syndicate Manager,"INTAGE (Thailand) Co., Ltd.",Bangrak,Panel & SyndicateDevelop and manage syndicatedExperience with Quantitative and Qualitative,4d ago
1707,IFRS17 Application Consultant,Triforce Global Solutions Limited,Bangrak,IFRS17 System ExperienceAttractive benefitsHybrid work environment,6d ago
1708,FP & A Manager,Adecco Recruitment (Thailand) Limited,Bangkok Area - Samutsakorn,Global CompanyWork location : Samutsakorn and ChaengwattanaWork on Saturday,4d ago
1709,Asst. Business Manager (Consumer Lending),"Central JD Fintech Co., Ltd.",Pathumwan,"Experience in product management,consumer lendingStrong understanding of consumer lending retailExperience working with data analysts",6d ago
1710,System Analyst,Aware Outsourcing Services Corporation (Thailand) Ltd. (AOS),Bangkok,"SQL, API, AngularWork flow, SpecWorking 5 days/week",12d ago
1711,"Platform Experience Associate (English, Indonesian, Malay, Urdu Speakers)",Accenture Thailand,Bangkok,"English, Indonesian, Malay, UrduCompetitive salary + language allowanceTeam member to team lead level/open to fresh grads",6d ago
1712,Customer Service Analyst - Corporate Client (ENG),"Citibank , N.A.",Wattana,Client ServiceSolve problemCommunicate,6d ago
1713,Product Owner/Product Manager,"Lightnet (Thailand) Co., Ltd.",Huaykwang,,3d ago
1714,Route Engineer,"Suntory PepsiCo Beverage (Thailand) Co., Ltd.",Klongtoey,Experience in fleet Management and logisticAble to travel upcountryGood command in English skill,6d ago
1715,Financial Trader (Crypto),Manpower Group Thailand,Bangkok,English LanguageCrypto TradingAnalysis,6d ago
1716,"Urgent!! Salesforce Developer (upto 90K ll English -Good, Certificate - DEV 401) @ BTS area-KG/>>>> LineId: keson-kelly",Kelly Services,Bangkok,2+ years of Salesforce DevelopingStrong Analyze/design of Salesforce CRM workflowsGood command of English,5d ago
1717,Commercial BD (Bank Team),"ShopeePay (Thailand) Co., Ltd.",Huaykwang,Experienced in Business Planning and DevelopmentFamiliar with banking Industry will be advantageStrong Presentation abilities,5d ago
1718,Supply Chain System Improvement Manager,Lotus's,Beungkum,"Supply Chain, System and Process ImprovementUsing tools to extract & analyse dataKnowledge of Retail or our Suppliers' supply chain",6d ago
1719,Purchasing Staff/เจ้าหน้าที่จัดซื้อ,"E.L.F. CO., LTD.",Phrapradaeng,,3d ago
1720,พนักงานประจำร้านกาแฟ สาขาสมุทรปราการ,Amway (Thailand) Limited,Bangkok Area - Samutprakarn,,3d ago
1721,IT Application - Engineer (New graduate),"Mitsubishi Motors (Thailand) Co., Ltd.",Klongtoey,"FYI Center, MRT QSNCC, Klongtoei, 5 working daysDotnet, SAP (ABAP & Functional), JAVA, DEveloperNew graduates are welcome, Information Technology",4d ago
1722,"Manager, Business Development - YAS","Benchachinda Holding Co., Ltd.",Jatuchak,Minimum 5 Year in WarehouseKnowledges of WMS and TMSStrong analytical thinking & Good in Communication,4d ago
1723,Store Replenishment Specialist (Urgently Required),"TD Tawandang Co., Ltd.",Bangrak,"Store Replenishment SpecialistDirect exp. in store replenishment, supply chainNear BTS Chongnonsi",4d ago
1724,Software Tester / Senior Tester / Test Lead (Renewal Contract),Hitachi Vantara (Thailand) Ltd.,Bangkok,Execute Test Case and Test scripts.Escalate of test defects and issues.Re-test repaired defects.,7d ago
1725,Market Surveillance (Derivatives) - Market Surveillance-Derivatives Department,The Stock Exchange of Thailand,Dindaeng,ปริญญาตรีขึ้นไป ด้านการเงิน บัญชี เศรษฐศาสตร์มีประสบการณ์ในการทำงานด้าน derivatives productมีทักษะภาษาอังกฤษดี (TOEIC Score > 600),3d ago
1726,Costing Analyst,Mccormick (Thailand) Ltd.,Chonburi,3-5 years Cost AccountingGood communication in EnglishCan work at Amata City Phase10 Chonburi,6d ago
1727,Logistics Solution and System Administration,BDP Asia-Pacific Ltd.,Klongtoey,Logistics SolutionSystem AdministrationImplementing solutions,6d ago
1728,Inside Sales,Cloud Ace Ltd.,Klongtoey,"Fresh graduate is welcome5 days working, Work From HomeGood in English conversation and writing",5d ago
1729,Project Leader ( Urgently Required ),"C.S.I. (Thailand) Co., Ltd.",Thanyaburi,,4d ago
1730,Trade Channel Marketing- Supervisor/Assistant Manager Modern Trade,"Siam Winery Trading Plus Co., Ltd.",Laksri,Minimum of 3-5 years Trade Marketing backgroundAbility to understand linkage with data analysisExperience in marketing/category management,6d ago
1731,Demand Planner - Cosmetic,"Luxasia (Siam) Co., Ltd.",Rajthevee,Numerical analysisGood in EnglishProficient in Microsoft Excel,6d ago
1732,Mobile Developer (IOS/Android),"The Prodigy (Thailand) Co., Ltd.",Bangkok,"3 years Mobile (Android) - Kotlin(Mandatory), Java3 years Mobile (IOS) - (Swift, Java)Good communication",6d ago
1733,Compensation & Benefits Section Manager,Learn Corporation Public Company Limited,Pathumwan,Manage the completion of the monthly payrollCoordinate and manage C&B related tasksHandle C&B tasks as assignment,5d ago
1734,IT Operation (Onsite งามวงศ์วาน),Chanwanich Group,Nonthaburi > Muang,"ยินดีพิจารณาเด็กจบใหม่MS Window Server, SQL Server, Oracle, NetBackupประกันกลุ่ม, พักร้อน 9 วัน, กองทุนสำรองเลี้ยงชีพ",2d ago
1735,Senior Specialist Business Operational Risk Management,TMBThanachart Bank or ttb / ทีเอ็มบีธนชาต หรือ ทีทีบี,Jatuchak,"Operational Risk Management (ORM)RCSA, BIA, KRI, Risk AcceptanceDashboard and report operational risk status",6d ago
1736,เจ้าหน้าที่งบประมาณ,Bangkok Bank Public Company Limited,Kannayao,ป.ตรี ด้านบัญชี การเงิน เศรษฐศาสตร์การเงินติดตามผลการใช้จ่ายของหน่วยงานต่างๆแผนงบประมาณและงบลงทุนของธนาคาร,4d ago
1737,Product Owner,Ancor Thailand,Bangkok,Performance Bonus10-15 vacation leavesTechnology allowance,3d ago
1738,SAP/ERP Consultant (Warehouse Software Platform / 5 days working / Location BTS and MRT),MOLOG,Jatuchak,"Exp. in software platform, able to advise usersGood knowledge in Workflow & Business RequirementFlexible Working Hour / Performance bonus",5d ago
1739,"Digital Marketing Manager /E-commerce - FMCG, Food, Retail (90K-120K)","AOU ASIA RECRUITMENT CO., LTD.",Bangkok,"Manage Brand Ecommerce platforms in all aspectsGood coordination with partners, business mindsetGood English, International working environment",3d ago
1740,Marketing Technology Division Manager,"DISYS (THAILAND) CO., LTD.",Wattana,E-Commercial Commercial SkillExpanding business.International business model.,5d ago
1741,Senior Cyber Security Analyst (Senior SOC),Yokogawa (Thailand) Ltd.,Huaykwang,"Join part of International & Professional CompanyHigh Salary and Attractive Benefits5 days of working, Overseas Training",6d ago
1742,Campaign and Acquisition,FWD Life Public Company Limited,Pathumwan,7 years of experience in digital marketingStrong experience on social/google programmaticGood command in English,5d ago
1743,Facility Engineer / Sr.Engineer,Magnecomp Precision Technology Public Company Limited,อยุธยา,Bachelor degree or higher in EngineeringA good command of English is required0-5 years Cleanroom Technology background,7d ago
1744,Performance Marketing Associate,"AIRR LABS (THAILAND) CO., LTD.",Pathumwan,,6d ago
1745,Product Innovation (Junior to Middle Level),"SCB TECH X CO., LTD.",Bangkok,Innovation strategy for SCB TechXIT consulting and solution architectureHybrid Working,6d ago
1746,พนักงานวิเคราะห์และวางแผน (170),PTT Public Company Limited,Jatuchak,,6d ago
1747,System Analyst รับสมัครด่วน !,"Prospersof Consulting Co., Ltd.",Bangkok,มีประสบการณ์พัฒนาและออกแบบระบบองค์กรธุรกิจต่าง ๆSQL Server (Stored procedure)ASP.NET (Web) หรือ .NET (Win),6d ago
1748,System Analyst รับสมัครด่วน !,"Prospersof Consulting Co., Ltd.",Bangkok,มีประสบการณ์พัฒนาและออกแบบระบบองค์กรธุรกิจต่าง ๆSQL Server (Stored procedure)ASP.NET (Web) หรือ .NET (Win),6d ago
1749,System Analysis Specialist  (สมัครด่วน!!),"Prospersof Consulting Co., Ltd.",Bangkok,มีประสบการณ์พัฒนาและออกแบบระบบองค์กรธุรกิจต่าง ๆSQL Server (Stored procedure)ASP.NET (Web) หรือ .NET (Win),6d ago
1750,System Analysis Specialist  (สมัครด่วน!!),"Prospersof Consulting Co., Ltd.",Bangkok,มีประสบการณ์พัฒนาและออกแบบระบบองค์กรธุรกิจต่าง ๆSQL Server (Stored procedure)ASP.NET (Web) หรือ .NET (Win),6d ago
1751,System Analysis Specialist  (สมัครด่วน!!),"Prospersof Consulting Co., Ltd.",Bangkok,มีประสบการณ์พัฒนาและออกแบบระบบองค์กรธุรกิจต่าง ๆSQL Server (Stored procedure)ASP.NET (Web) หรือ .NET (Win),6d ago
1752,Digital Performance Marketing Specialist,"Heroleads (Thailand) Co., Ltd.",Wattana,"Digital MarketingAds Optimizer, Biddable, Campaign ManagementGoogle, Facebook, SEM, PPC, Social Media",8d ago
1753,Financial Planning (Accounting&Finance),Bangkok Bank Public Company Limited,Bangrak,"Organization’s current strategyDesign a path to growth and profitabilityPerform an economic, industry and competitive",5d ago
1754,Senior ERP support,"RACEKU THAI CO., LTD.",ชลบุรี,,4d ago
1755,Application Support(Mobile Banking),Bangkok Bank Public Company Limited,ยานนาวา,"individual tickets of Mobile Banking systemco-ordinate infra structure changeTMX,Akamai(Capacity planning ,Account management",4d ago
1756,Trade Marketing Manager,"Natur Corporation Co., Ltd.",บางบอน,Minimum of 5 years experience as a Trade Maketing5 years of experience in a job in the FMCGExcellent communication skills,4d ago
1757,HR System and Application Development,Central Restaurants Group (CRG),Bangrak,"Develops and maintains an HR system structureC#. Net Developer, MySQL, MSSQL, Dotnet2 – 5 years prior work experience in an HRIS or IT",6d ago
1758,Compensation & Benefits Officer/เจ้าหน้าที่ค่าจ้างค่าตอบแทนและสวัสดิการ,"Diakrit (Thailand) Co., Ltd.",Huaykwang,,6d ago
1759,Compliance Analyst,"BEC World Public Co., Ltd.",Klongtoey,"Compliance AnalystCPA, CIA, CISA or MBASAP",6d ago
1760,Nesternship Program (Internship Program) : Sales Analytics,Nestle (Thai) Ltd.,Pathumwan,Learning opportunityPaid Nesternship ProgramMeaningful Projects Assignments,12d ago
1761,Performance and Rewards,CIMB Thai Bank,Pathumwan,"Annual performance review, Salary structureSalary survey, Budgeting & forecast personal costSalary & benefits up-to-date, Compensation policy",7d ago
1762,Digital Marketing Consulting Manager  (Google Ads),"iTopPlus Co., Ltd.",ดินแดง,MRT Station Thailand Cultural CenterAble to work well under pressureOperation management,5d ago
1763,ECommerce Manager,MAP Active Adiperkasa Ltd.,Bangkok,,6d ago
1764,Field Support Engineer,Asurion (Thailand) Limited,Sathorn,Experience in data driven environmentBusiness Acumen & Hands-on (end-to-end delivery)Technical requirements and enterprise architecture,5d ago
1765,"Supervisor, DevSecOps",Com7 Public Company Limited,บางนา,Lead/coach IT development teamMicrosoft SQL ServerDevSecOps function,6d ago
1766,Digital Strategist (2 Positions - Urgent !),FAR EAST FAME LINE DDB PUBLIC COMPANY LIMITED,ราชเทวี,"Work From Home, Performance bonusProvident Fund, Health Insurance and Annual CareWork in CBD  - Phayathai BTS",6d ago
1767,Programmer AS400 1 Position,"Thai Honda Manufacturing Co., Ltd.",ลาดกระบัง,Bachelor degree in Computer ScienceAbility to communicate in EnglishGood personality and positive attitude,3d ago
